data_type,Initial
On/Off Signal,A
On/Off Valve,A
Agitator,AG
Agitator,AGM
Pump,CPM
Fan,CT
Control Valve,CV
On/Off Valve,DV
Blower,EP
On/Off Valve,ES
Fan,F
Fan,FB
Control Valve,FCV
Flow Transmitter,FIT
Flow Transmitter,FITQ
On/Off Valve,FL
Fan,FM
Fan,FN
Pump,FP
Switch,FS
Flow Transmitter,FT
Flow Transmitter,FTCPKOFM
Flow Transmitter,FTM
Flow Transmitter,FTPL
High Level Switch,HHLA
High Level Switch,HL
High Level Switch,HLA
High Level Switch,HLAT
Pump,HM
Pressure Transmitter,HPP
Pump,HST
Heater,HT
Control Valve,ICM
Kombinator,KB
High Level Switch,LAH
High Level Switch,LAHH
Low Level Switch,LAL
Control Valve,LCV
Low Level Switch,LL
Low Level Switch,LLA
Low Level Switch,LLAT
Pump,LPM
Switch,LS
High Level Switch,LSH
High Level Switch,LSHRM
High Level Switch,LSHTU
Low Level Switch,LSL
Low Level Switch,LSLCTF
Low Level Switch,LSLTU
Level Transmitter,LT
Level Transmitter,LTT
Level Transmitter,LTTU
Pump,M
Flow Transmitter,MF
Mid Level Switch,ML
Pump,MU
On/Off Valve,NV
Pump,OC
Pump,P
Pressure Transmitter,PC
Pump,PF
Pump,PFM
Pump,PLM
Pin Rotot Motor,PRM
Control Valve,PRV
Switch,PS
Pressure Switch,PSAH
Pressure Switch,PSH
Pressure Switch,PSL
Pressure Transmitter,PT
Pump,PU
Control Valve,PV
Pressure Transmitter,PV
Reactor Chopper,RC
Level Transmitter,RD
Pump,RPP
Rotary Valve,RV
On/Off Valve,S
Variable Frequency Drive,SIC
Temperature Transmitter,TC
Control Valve,TCV
Temperature Transmitter,TE
Pump,TS
Pump,TSAH
Temperature Transmitter,TT
Flow Transmitter,TTLFTM
Flow Transmitter,TTLFTPL
Temperature Transmitter,TTT
Temperature Transmitter,TTTU
On/Off Valve,UV
On/Off Valve,V
Vibrator,VB
Pump,VP
Switch,ZS
