data_type,Initial
Agitator,AG
Agitator,AGM
Blower,EP
Control Valve,CV
Control Valve,FCV
Control Valve,ICM
Control Valve,LCV
Control Valve,PRV
Control Valve,PV
Control Valve,TCV
Fan,CT
Fan,F
Fan,FB
Fan,FM
Fan,FN
Flow Transmitter,FIT
Flow Transmitter,FITQ
Flow Transmitter,FT
Flow Transmitter,FTCPKOFM
Flow Transmitter,FTM
Flow Transmitter,FTPL
Flow Transmitter,MF
Flow Transmitter,TTLFTM
Flow Transmitter,TTLFTPL
Heater,HT
High Level Switch,HHLA
High Level Switch,HL
High Level Switch,HLA
High Level Switch,HLAT
High Level Switch,LAH
High Level Switch,LAHH
High Level Switch,LSH
High Level Switch,LSHRM
High Level Switch,LSHTU
Kombinator,KB
Level Transmitter,LT
Level Transmitter,LTT
Level Transmitter,LTTU
Level Transmitter,RD
Low Level Switch,LAL
Low Level Switch,LL
Low Level Switch,LLA
Low Level Switch,LLAT
Low Level Switch,LSL
Low Level Switch,LSLCTF
Low Level Switch,LSLTU
Mid Level Switch,ML
On/Off Signal,A
On/Off Valve,A
On/Off Valve,DV
On/Off Valve,ES
On/Off Valve,FL
On/Off Valve,NV
On/Off Valve,S
On/Off Valve,UV
On/Off Valve,V
Pin Rotot Motor,PRM
Pressure Switch,PSAH
Pressure Switch,PSH
Pressure Switch,PSL
Pressure Transmitter,HPP
Pressure Transmitter,PC
Pressure Transmitter,PT
Pressure Transmitter,PV
Pump,CPM
Pump,FP
Pump,HM
Pump,HST
Pump,LPM
Pump,M
Pump,MU
Pump,OC
Pump,P
Pump,PF
Pump,PFM
Pump,PLM
Pump,PU
Pump,RPP
Pump,TS
Pump,TSAH
Pump,VP
Reactor Chopper,RC
Rotary Valve,RV
Switch,FS
Switch,LS
Switch,PS
Switch,ZS
Temperature Transmitter,TC
Temperature Transmitter,TE
Temperature Transmitter,TT
Temperature Transmitter,TTT
Temperature Transmitter,TTTU
Variable Frequency Drive,SIC
Vibrator,VB
